! Title: RiiConnect24/Wiimmfi List for Users of AdGuard Home and Pi-Hole
! Version: 2020December30
! Verified DNS lookup from RiiConnect24 DNS server 164.132.44.106
95.217.77.151 asobids.ms9.gs.nintendowifi.net
164.132.44.106 cfh.wapp.wii.com
69.25.139.140 conntest.nintendowifi.net
195.201.236.139 dls1.ilostmymind.xyz
195.201.236.139 dls1.wiimmfi.de
164.132.44.106 ente.wapp.wii.com
164.132.44.106 entj.wapp.wii.com
164.132.44.106 entu.wapp.wii.com
178.62.43.212 flipnote.hatena.com
95.217.77.151 gamespy.com
195.201.236.139 gamestats.gs.nintendowifi.net
195.201.236.139 gamestats2.gs.nintendowifi.net
92.222.69.160 gdata.youtube.com
95.217.77.151 gpcm.gs.nintendowifi.net
95.217.77.151 gs.nintendowifi.net
95.217.77.151 mariokartds.available.gs.nintendowifi.net
164.132.44.106 mariokartwii.race.gs.wiimmfi.de
95.217.77.151 master.gs.nintendowifi.net
164.132.44.106 miicontest.wapp.wii.com
164.132.44.106 miicontestp.wapp.wii.com
164.132.44.106 ms.nintendo-europe.com
178.62.43.212 nas.nintendowifi.net
95.217.77.151 natneg1.gs.nintendowifi.net
94.130.8.215 natneg2.gs.nintendowifi.net
94.130.48.222 natneg3.gs.nintendowifi.net
95.217.77.151 natneg4.gs.nintendowifi.net
95.217.77.151 natneg5.gs.nintendowifi.net
95.217.77.151 natneg6.gs.nintendowifi.net
164.132.44.106 news.wapp.wii.com
164.132.44.106 nwcs.wapp.wii.com
195.201.236.139 peerchat.gs.nintendowifi.net
191.236.98.208 pkgdsprod.nintendo.co.jp
191.236.98.208 pkvldtprod.nintendo.co.jp
164.132.44.106 rs.nintendo.com
164.132.44.106 syscheck.rc24.xyz
164.132.44.106 syscheck.softwii.de
164.132.44.106 vt.wapp.wii.com
164.132.44.106 weather.wapp.wii.com
164.132.44.106 wii.nintendo.co.jp
164.132.44.106 wiirecommend.nintendo.com.au
164.132.44.106 wus.wapp.wii.com
