! Title: RiiConnect24/Wiimmfi List for Users of AdGuard Home and Pi-Hole
! Version: 2020-December-17
! Converted from https://raw.githubusercontent.com/RiiConnect24/DNS-Server/master/dns_zones.json
164.132.44.106 cfh.wapp.wii.com
69.25.139.140 conntest.nintendowifi.net
195.201.236.139 dls1.ilostmymind.xyz
165.227.235.155 dls1.riiconnect24.net
165.227.235.155 dls1.wiimmfi.de
195.201.236.139 dls1.wiimmfi.de
165.227.235.155 dls2.pokeacer.tk
165.227.235.155 dls2.riiconnect24.net
165.227.235.155 dls2.wiimmfi.de
164.132.44.106 ente.wapp.wii.com
164.132.44.106 entj.wapp.wii.com
164.132.44.106 entu.wapp.wii.com
178.62.43.212 flipnote.hatena.com
95.217.77.151 gamespy.com
165.227.235.155 gamestats.gs.nintendowifi.net
195.201.236.139 gamestats.gs.nintendowifi.net
165.227.235.155 gamestats2.gs.nintendowifi.net
195.201.236.139 gamestats2.gs.nintendowifi.net
92.222.69.160 gdata.youtube.com
95.217.77.151 gpcm.gs.nintendowifi.net
95.217.77.151 gs.nintendowifi.net
95.217.77.151 mariokartds.available.gs.nintendowifi.net
164.132.44.106 mariokartwii.race.gs.wiimmfi.de
95.217.77.151 master.gs.nintendowifi.net
164.132.44.106 miicontest.wapp.wii.com
164.132.44.106 miicontestp.wapp.wii.com
164.132.44.106 ms.nintendo-europe.com
178.62.43.212 nas.nintendowifi.net
95.217.77.151 naswii.dev.wiimmfi.de
95.217.77.151 natneg1.gs.nintendowifi.net
94.130.8.215 natneg2.gs.nintendowifi.net
94.130.48.222 natneg3.gs.nintendowifi.net
95.217.77.151 natneg4.gs.nintendowifi.net
95.217.77.151 natneg5.gs.nintendowifi.net
95.217.77.151 natneg6.gs.nintendowifi.net
164.132.44.106 news.wapp.wii.com
164.132.44.106 nwcs.wapp.wii.com
165.227.235.155 peerchat.gs.nintendowifi.net
195.201.236.139 peerchat.gs.nintendowifi.net
191.236.98.208 pkgdsprod.nintendo.co.jp
178.62.43.212 pkvldtprod.nintendo.co.jp
164.132.44.106 rs.nintendo.com
165.227.235.155 syscheck.rc24.xyz
195.201.236.139 syscheck.rc24.xyz
165.227.235.155 syscheck.softwii.de
195.201.236.139 syscheck.softwii.de
164.132.44.106 vt.wapp.wii.com
164.132.44.106 wc24.wii.com
164.132.44.106 weather.wapp.wii.com
164.132.44.106 wii.nintendo.co.jp
164.132.44.106 wiirecommend.nintendo.com.au
164.132.44.106 wus.wapp.wii.com
